iter	Accuracy	Logloss
142	0.818377912	0.3967868871
143	0.8186655162	0.3961949544
144	0.8185217141	0.395853337
145	0.8189531205	0.3952715363
146	0.8192407248	0.3949753041
147	0.8190969226	0.3945649349
148	0.8193845269	0.3944452039
149	0.819528329	0.3942729954
150	0.819528329	0.3942245138
151	0.8196721311	0.3939928259
152	0.8201035375	0.3934780895
153	0.820678746	0.3932379739
154	0.8208225482	0.3928291865
155	0.8211101524	0.3925147014
156	0.8211101524	0.3922403042
157	0.8211101524	0.391675532
158	0.8209663503	0.3914471864
159	0.8213977567	0.3912920632
160	0.8211101524	0.3910194778
161	0.8213977567	0.3908183142
162	0.8212539546	0.3906681742
163	0.8213977567	0.3904451547
164	0.8218291631	0.3900084671
165	0.8216853609	0.3897869654
166	0.8216853609	0.3895421425
167	0.8216853609	0.3892659412
168	0.8216853609	0.3891741469
169	0.8219729652	0.3890617778
170	0.8211101524	0.3887426897
171	0.8219729652	0.3884854162
172	0.8222605695	0.3881528498
173	0.8219729652	0.3880165747
174	0.8221167673	0.3878589644
175	0.8221167673	0.3876653392
176	0.8226919758	0.3874486945
177	0.8226919758	0.3871051129
178	0.8226919758	0.3870550819
179	0.822835778	0.3867513221
180	0.8229795801	0.386635896
181	0.8236985907	0.386485496
182	0.8232671844	0.3861108323
183	0.8234109865	0.3860040186
184	0.8235547886	0.3859239353
185	0.8238423929	0.3855367048
186	0.823986195	0.3852198624
187	0.8238423929	0.3850167612
188	0.8238423929	0.3849202432
189	0.8236985907	0.3848103333
190	0.8234109865	0.3846611471
191	0.8235547886	0.3844608555
192	0.8234109865	0.3842293973
193	0.8236985907	0.3837684575
194	0.8236985907	0.3833651302
195	0.8242737993	0.3831895948
196	0.8241299971	0.383070136
197	0.823986195	0.3828293944
198	0.8241299971	0.3826542036
199	0.8238423929	0.382612984
200	0.8242737993	0.3824118146
201	0.8241299971	0.3823343903
202	0.8242737993	0.3820996959
203	0.8249928099	0.3819510055
204	0.8248490078	0.3816870821
205	0.8245614035	0.3815506445
206	0.8245614035	0.3811242686
207	0.8252804142	0.3809138414
208	0.8258556227	0.3807341702
209	0.8258556227	0.3803519571
210	0.826287029	0.380175672
211	0.826287029	0.3800445481
212	0.8264308312	0.3798964732
213	0.8265746333	0.3796598541
214	0.8264308312	0.3794625923
215	0.8270060397	0.3792921293
216	0.8268622376	0.3790632346
217	0.8267184354	0.3789222232
218	0.8268622376	0.3787471396
219	0.8270060397	0.3786652756
220	0.8271498418	0.3785533936
221	0.8271498418	0.3784611088
222	0.8271498418	0.3780925403
223	0.8274374461	0.3779117277
224	0.8270060397	0.3776271104
225	0.8272936439	0.3775249384
226	0.8274374461	0.3773474366
227	0.8274374461	0.3772333858
228	0.8274374461	0.3770906096
229	0.8274374461	0.3770021897
230	0.8274374461	0.3767958924
231	0.8275812482	0.3766837168
232	0.8280126546	0.376298593
233	0.8278688525	0.3761697597
234	0.8278688525	0.3760206383
235	0.8278688525	0.3759667555
236	0.8281564567	0.3756889644
237	0.8280126546	0.3755803758
238	0.8281564567	0.3754331123
239	0.8283002588	0.3752449875
240	0.8287316652	0.3751045188
241	0.8287316652	0.3750240649
242	0.8287316652	0.3749042516
243	0.8290192695	0.3747892681
