iter	Passed	Remaining
402	10950	29807
403	10977	29779
404	11004	29752
405	11031	29724
406	11059	29699
407	11084	29668
408	11112	29641
409	11138	29611
410	11162	29577
411	11190	29551
412	11219	29528
413	11265	29551
414	11313	29579
415	11340	29550
416	11363	29512
417	11388	29479
418	11410	29439
419	11436	29408
420	11459	29368
421	11485	29338
422	11510	29307
423	11535	29272
424	11559	29237
425	11583	29202
426	11610	29174
427	11635	29142
428	11660	29111
429	11687	29082
430	11716	29059
431	11741	29028
432	11766	28995
433	11794	28969
434	11818	28934
435	11847	28911
436	11871	28877
437	11891	28832
438	11916	28800
439	11942	28771
440	11965	28732
441	11995	28714
442	12021	28683
443	12050	28660
444	12075	28629
445	12098	28590
446	12124	28562
447	12150	28531
448	12179	28510
449	12232	28541
450	12281	28565
451	12329	28588
452	12368	28587
453	12399	28567
454	12424	28534
455	12457	28520
456	12488	28502
457	12518	28480
458	12544	28449
459	12571	28421
460	12595	28388
461	12621	28356
462	12647	28326
463	12671	28292
464	12701	28271
465	12728	28244
466	12754	28213
467	12783	28189
468	12804	28148
469	12827	28110
470	12853	28081
471	12879	28050
472	12905	28020
473	12929	27987
474	12955	27957
475	12981	27925
476	13007	27896
477	13034	27867
478	13059	27837
479	13085	27805
480	13110	27774
481	13135	27743
482	13165	27722
483	13193	27694
484	13218	27663
485	13246	27637
486	13274	27611
487	13307	27596
488	13331	27562
489	13358	27534
490	13387	27510
491	13410	27474
492	13435	27442
493	13460	27411
494	13487	27382
495	13514	27355
496	13539	27324
497	13569	27302
498	13595	27272
499	13618	27237
500	13643	27206
501	13672	27181
502	13697	27149
503	13725	27123
504	13753	27097
505	13777	27064
506	13800	27030
507	13827	27001
508	13850	26965
509	13875	26935
510	13900	26902
511	13929	26879
512	13953	26847
513	13980	26818
514	14005	26786
515	14029	26754
516	14052	26718
517	14076	26684
518	14102	26657
519	14127	26625
520	14151	26592
521	14177	26561
522	14199	26526
523	14222	26490
524	14245	26455
525	14270	26424
526	14296	26395
527	14322	26366
528	14348	26337
529	14369	26298
530	14394	26267
531	14417	26234
532	14438	26195
533	14462	26162
534	14487	26132
535	14510	26097
536	14532	26060
537	14555	26026
538	14583	26001
539	14604	25963
540	14634	25941
541	14658	25909
542	14686	25883
543	14711	25853
544	14740	25829
545	14764	25797
546	14790	25768
547	14815	25738
548	14840	25706
549	14867	25679
550	14895	25655
551	14918	25620
552	14942	25588
553	14969	25562
554	14997	25535
555	15021	25504
556	15047	25475
557	15070	25442
558	15097	25414
559	15123	25386
560	15151	25359
561	15179	25335
562	15226	25341
563	15288	25372
564	15336	25379
565	15396	25407
566	15449	25422
567	15502	25436
568	15555	25452
569	15592	25440
570	15632	25433
571	15692	25458
572	15717	25428
573	15759	25423
574	15797	25413
575	15821	25380
576	15844	25345
577	15872	25319
578	15896	25285
579	15919	25252
580	15946	25222
581	15972	25193
582	15993	25156
583	16020	25128
584	16046	25097
585	16068	25063
586	16095	25034
587	16123	25007
588	16149	24978
589	16182	24959
590	16208	24929
591	16231	24896
592	16257	24866
593	16281	24832
594	16302	24795
595	16326	24763
596	16349	24729
597	16375	24700
598	16401	24670
599	16428	24642
600	16456	24616
601	16478	24581
602	16507	24555
603	16534	24527
604	16554	24490
605	16579	24458
606	16605	24429
607	16634	24404
608	16666	24383
609	16692	24354
610	16715	24321
611	16739	24288
612	16768	24263
613	16789	24227
614	16812	24194
615	16836	24161
616	16860	24129
617	16884	24096
618	16910	24067
619	16937	24039
620	16960	24007
621	16984	23975
622	17010	23945
623	17037	23917
624	17066	23893
625	17090	23860
626	17116	23832
627	17142	23802
628	17171	23778
629	17196	23747
630	17220	23715
631	17238	23675
632	17265	23648
633	17291	23618
634	17312	23583
635	17338	23554
636	17365	23525
637	17388	23494
638	17413	23463
639	17437	23431
640	17462	23401
641	17486	23369
642	17509	23336
643	17535	23308
644	17559	23276
645	17582	23243
646	17606	23211
647	17635	23186
648	17661	23158
649	17691	23135
650	17715	23103
651	17741	23074
652	17767	23045
653	17792	23016
654	17813	22981
655	17840	22953
656	17865	22923
657	17892	22895
658	17915	22863
659	17940	22833
660	17968	22807
661	17991	22775
662	18013	22741
663	18039	22712
664	18057	22673
665	18082	22644
666	18114	22622
667	18140	22594
668	18169	22568
669	18195	22540
670	18223	22514
671	18246	22482
672	18274	22456
673	18300	22427
674	18324	22396
675	18346	22363
676	18372	22335
677	18410	22320
678	18458	22318
679	18503	22312
680	18529	22284
681	18555	22255
682	18578	22223
683	18602	22192
684	18627	22162
685	18651	22131
686	18676	22102
687	18695	22065
688	18718	22032
689	18746	22006
690	18771	21977
691	18798	21949
692	18822	21918
693	18846	21887
694	18870	21857
695	18898	21831
696	18929	21808
697	18953	21777
698	19007	21780
699	19061	21784
700	19111	21783
701	19155	21775
702	19180	21744
703	19203	21712
704	19230	21685
705	19258	21658
706	19285	21631
707	19306	21596
708	19334	21570
709	19360	21542
710	19387	21514
711	19409	21481
712	19435	21452
713	19461	21423
714	19488	21396
715	19516	21370
716	19544	21343
717	19574	21319
718	19605	21296
719	19636	21273
720	19660	21242
721	19686	21213
722	19715	21187
723	19740	21158
724	19764	21127
725	19796	21105
726	19819	21073
727	19844	21043
728	19871	21016
729	19900	20990
730	19925	20961
731	19953	20935
732	19979	20905
733	20003	20875
734	20031	20849
735	20059	20822
736	20085	20794
737	20112	20766
738	20141	20741
739	20175	20721
740	20206	20697
741	20231	20667
742	20258	20640
743	20295	20622
744	20321	20594
745	20353	20572
746	20379	20543
747	20405	20514
748	20429	20484
749	20451	20451
750	20476	20422
751	20500	20391
752	20525	20361
753	20549	20331
754	20576	20304
755	20605	20278
756	20643	20261
757	20673	20237
758	20705	20214
759	20731	20186
760	20757	20157
761	20780	20125
762	20804	20095
763	20829	20066
764	20854	20037
765	20883	20010
766	20909	19982
767	20932	19951
768	20959	19923
769	20984	19894
770	21014	19869
771	21037	19838
772	21061	19808
773	21087	19779
774	21113	19751
775	21136	19719
776	21158	19687
777	21185	19660
778	21207	19628
779	21237	19603
780	21290	19599
781	21325	19579
782	21351	19552
783	21376	19522
784	21401	19492
785	21426	19463
786	21452	19435
787	21475	19404
788	21502	19377
789	21530	19350
790	21558	19323
791	21585	19296
792	21614	19270
793	21643	19245
794	21677	19223
795	21703	19194
796	21728	19165
797	21752	19135
798	21776	19105
799	21802	19076
800	21825	19045
801	21851	19018
802	21875	18988
803	21903	18961
804	21930	18933
805	21983	18928
806	22023	18912
807	22057	18890
808	22084	18863
809	22113	18837
810	22172	18836
811	22240	18843
812	22290	18835
813	22313	18804
814	22338	18774
815	22364	18746
816	22390	18718
817	22414	18688
818	22436	18656
819	22460	18625
820	22485	18596
821	22510	18566
822	22531	18534
823	22553	18503
824	22577	18472
825	22599	18440
826	22624	18411
827	22652	18384
828	22680	18358
829	22707	18330
830	22731	18299
831	22758	18272
832	22783	18243
833	22810	18215
834	22837	18187
835	22862	18158
836	22887	18129
837	22912	18100
838	22935	18069
839	22960	18040
840	22987	18012
841	23014	17985
842	23039	17955
843	23063	17926
844	23091	17898
845	23114	17868
846	23138	17838
847	23167	17812
848	23194	17784
849	23221	17757
850	23246	17728
851	23271	17699
852	23293	17668
853	23318	17639
854	23344	17610
855	23370	17582
856	23396	17554
857	23422	17526
858	23449	17498
859	23474	17469
860	23497	17438
861	23520	17408
862	23546	17379
863	23573	17352
864	23600	17325
865	23628	17298
866	23657	17272
867	23683	17244
868	23740	17238
869	23803	17237
870	23845	17220
871	23875	17194
872	23897	17163
873	23922	17134
874	23953	17109
875	23976	17079
876	24006	17053
877	24035	17027
878	24062	16999
879	24089	16972
880	24116	16944
881	24146	16919
882	24172	16890
883	24200	16863
884	24225	16834
885	24255	16809
886	24277	16778
887	24304	16750
888	24330	16722
889	24359	16695
890	24386	16668
891	24412	16639
892	24436	16610
893	24461	16581
894	24488	16553
895	24515	16525
896	24544	16500
897	24566	16469
898	24588	16437
899	24616	16411
900	24644	16384
901	24675	16359
902	24703	16332
903	24729	16304
904	24753	16274
905	24784	16249
906	24809	16220
907	24835	16192
908	24860	16163
909	24895	16140
910	24920	16112
911	24942	16081
912	24968	16053
913	24992	16023
914	25015	15993
915	25043	15966
916	25068	15937
917	25094	15909
918	25130	15887
919	25186	15878
920	25237	15866
921	25323	15875
922	25388	15871
923	25443	15861
924	25505	15854
925	25569	15849
926	25610	15830
927	25633	15800
928	25662	15773
929	25707	15756
930	25755	15740
931	25781	15712
932	25805	15682
933	25832	15654
934	25858	15626
935	25886	15598
936	25913	15570
937	25940	15542
938	25965	15513
939	25989	15483
940	26018	15456
941	26045	15428
942	26069	15398
943	26089	15366
944	26116	15338
945	26144	15310
946	26170	15282
947	26196	15253
948	26222	15225
949	26248	15196
950	26275	15168
951	26303	15140
952	26328	15112
953	26354	15083
954	26378	15053
955	26407	15026
956	26431	14997
957	26458	14969
958	26485	14941
959	26511	14912
960	26563	14898
961	26614	14884
962	26640	14855
963	26669	14828
964	26689	14797
965	26717	14769
966	26740	14738
967	26767	14710
968	26789	14680
969	26816	14652
970	26843	14624
971	26870	14596
972	26897	14568
973	26924	14540
974	26949	14511
975	26973	14481
976	26999	14453
977	27025	14424
978	27053	14397
979	27079	14368
980	27107	14341
981	27136	14314
982	27163	14286
983	27196	14261
984	27222	14233
985	27248	14204
986	27275	14176
987	27301	14148
988	27329	14120
989	27353	14091
990	27378	14062
991	27404	14033
992	27428	14004
993	27457	13977
994	27482	13948
995	27506	13919
996	27530	13889
997	27560	13863
998	27587	13835
999	27615	13807
1000	27636	13776
1001	27660	13747
1002	27689	13720
1003	27715	13692
1004	27743	13664
1005	27768	13635
1006	27794	13607
1007	27820	13579
1008	27850	13552
1009	27877	13524
1010	27900	13494
1011	27922	13464
1012	27948	13436
1013	27978	13409
1014	28005	13381
1015	28034	13354
1016	28059	13326
1017	28087	13298
1018	28114	13270
1019	28142	13243
1020	28166	13214
1021	28192	13185
1022	28215	13156
1023	28239	13127
1024	28266	13099
1025	28289	13069
1026	28317	13042
1027	28376	13028
1028	28416	13007
1029	28443	12979
1030	28468	12950
1031	28492	12921
1032	28517	12892
1033	28545	12864
1034	28570	12836
1035	28598	12808
1036	28628	12781
1037	28655	12754
1038	28682	12726
1039	28708	12697
1040	28734	12669
1041	28760	12641
1042	28785	12612
1043	28810	12583
1044	28833	12554
1045	28858	12525
1046	28879	12495
1047	28904	12466
1048	28943	12443
1049	28974	12417
1050	29001	12389
1051	29027	12361
1052	29053	12333
1053	29081	12305
1054	29110	12278
1055	29140	12252
1056	29167	12224
1057	29219	12206
1058	29249	12180
1059	29275	12152
1060	29299	12123
1061	29323	12094
1062	29349	12065
1063	29372	12036
1064	29397	12007
1065	29423	11979
1066	29445	11949
1067	29471	11920
1068	29493	11891
1069	29521	11863
1070	29551	11837
1071	29581	11810
1072	29608	11782
1073	29637	11755
1074	29663	11727
1075	29689	11699
1076	29715	11671
1077	29746	11644
1078	29770	11615
1079	29794	11586
1080	29819	11558
1081	29847	11530
1082	29872	11502
1083	29900	11474
1084	29925	11446
1085	29950	11417
1086	29976	11389
1087	30001	11360
1088	30027	11332
1089	30052	11304
1090	30079	11276
1091	30109	11249
1092	30145	11225
1093	30172	11197
1094	30204	11171
1095	30230	11143
1096	30258	11115
1097	30288	11089
1098	30316	11061
1099	30343	11034
1100	30371	11006
1101	30397	10978
1102	30421	10949
1103	30443	10919
1104	30468	10891
1105	30496	10864
1106	30526	10837
1107	30556	10810
1108	30587	10784
1109	30613	10756
1110	30644	10729
1111	30670	10701
1112	30694	10672
1113	30714	10642
1114	30739	10614
1115	30766	10586
1116	30790	10557
1117	30818	10529
1118	30843	10501
1119	30868	10473
1120	30895	10445
1121	30919	10416
1122	30943	10388
1123	30969	10359
1124	30992	10330
1125	31019	10303
1126	31042	10274
1127	31065	10245
1128	31090	10216
1129	31112	10187
1130	31141	10160
1131	31172	10133
1132	31197	10105
1133	31221	10076
1134	31260	10052
1135	31318	10035
1136	31349	10008
1137	31376	9980
1138	31402	9952
1139	31431	9925
1140	31457	9897
1141	31483	9869
1142	31507	9841
1143	31537	9814
1144	31566	9786
1145	31591	9758
1146	31617	9730
1147	31641	9702
1148	31665	9673
1149	31683	9642
1150	31708	9614
1151	31735	9586
1152	31764	9559
1153	31788	9531
1154	31815	9503
1155	31839	9474
1156	31863	9446
1157	31889	9418
1158	31917	9390
1159	31944	9363
1160	31968	9334
1161	31995	9306
1162	32022	9279
1163	32048	9251
1164	32103	9231
1165	32163	9213
1166	32220	9193
1167	32244	9165
1168	32270	9137
1169	32293	9108
1170	32335	9084
1171	32359	9056
1172	32397	9031
1173	32448	9010
1174	32482	8984
1175	32508	8956
1176	32538	8929
1177	32567	8902
1178	32597	8875
1179	32628	8848
1180	32657	8821
1181	32684	8793
1182	32708	8764
1183	32735	8736
1184	32765	8709
1185	32790	8681
1186	32817	8653
1187	32844	8625
1188	32869	8597
1189	32894	8569
1190	32921	8541
1191	32948	8513
1192	32973	8485
1193	32997	8456
1194	33025	8429
1195	33051	8401
1196	33075	8372
1197	33101	8344
1198	33126	8316
1199	33153	8288
1200	33178	8260
1201	33206	8232
1202	33228	8203
1203	33255	8175
1204	33284	8148
1205	33311	8120
1206	33340	8093
1207	33369	8066
1208	33402	8039
1209	33436	8013
1210	33465	7986
1211	33490	7958
1212	33519	7930
1213	33547	7903
1214	33575	7875
1215	33605	7848
1216	33631	7820
1217	33655	7792
1218	33681	7764
1219	33710	7736
1220	33735	7708
1221	33760	7680
1222	33786	7652
1223	33816	7625
1224	33846	7598
1225	33872	7570
1226	33899	7542
1227	33925	7514
1228	33949	7486
1229	33979	7458
1230	34000	7429
1231	34024	7401
1232	34049	7373
1233	34075	7345
1234	34104	7318
1235	34134	7290
1236	34158	7262
1237	34183	7234
1238	34214	7207
1239	34244	7180
1240	34271	7152
1241	34302	7125
1242	34329	7097
1243	34358	7070
1244	34380	7041
1245	34411	7014
1246	34438	6987
1247	34468	6959
1248	34498	6932
1249	34530	6906
1250	34560	6879
1251	34586	6850
1252	34613	6823
1253	34639	6795
1254	34660	6766
1255	34686	6738
1256	34713	6710
1257	34744	6683
1258	34795	6660
1259	34860	6640
1260	34927	6619
1261	34980	6596
1262	35039	6575
1263	35100	6553
1264	35176	6534
1265	35249	6515
1266	35322	6495
1267	35391	6475
1268	35454	6453
1269	35519	6432
1270	35576	6409
1271	35627	6386
1272	35670	6360
1273	35694	6331
1274	35720	6303
1275	35746	6275
1276	35775	6247
1277	35799	6218
1278	35827	6190
1279	35854	6162
1280	35880	6134
1281	35903	6105
1282	35929	6076
1283	35955	6048
1284	35982	6020
1285	36008	5992
1286	36033	5963
1287	36056	5934
1288	36080	5906
1289	36106	5877
1290	36134	5849
1291	36156	5820
1292	36181	5792
1293	36206	5763
1294	36229	5735
1295	36258	5707
1296	36281	5678
1297	36306	5650
1298	36328	5621
1299	36352	5592
1300	36377	5564
1301	36403	5535
1302	36428	5507
1303	36448	5478
1304	36469	5449
1305	36496	5421
1306	36521	5392
1307	36547	5364
1308	36572	5336
1309	36600	5308
1310	36627	5280
1311	36653	5252
1312	36681	5224
1313	36707	5196
1314	36731	5167
1315	36757	5139
1316	36785	5111
1317	36810	5083
1318	36846	5056
1319	36890	5030
1320	36915	5002
1321	36943	4974
1322	36967	4945
1323	36995	4917
1324	37022	4889
1325	37047	4861
1326	37071	4832
1327	37097	4804
1328	37128	4777
1329	37154	4749
1330	37180	4720
1331	37204	4692
1332	37232	4664
1333	37258	4636
1334	37281	4607
1335	37309	4579
1336	37334	4551
1337	37358	4523
1338	37388	4495
1339	37414	4467
1340	37437	4438
1341	37461	4410
1342	37492	4382
1343	37521	4355
1344	37548	4327
1345	37575	4299
1346	37600	4270
1347	37625	4242
1348	37651	4214
1349	37676	4186
1350	37700	4157
1351	37716	4128
1352	37744	4100
1353	37769	4072
1354	37796	4044
1355	37822	4016
1356	37847	3988
1357	37874	3960
1358	37900	3932
1359	37927	3904
1360	37961	3877
1361	37989	3849
1362	38015	3821
1363	38038	3792
1364	38065	3764
1365	38101	3737
1366	38130	3709
1367	38162	3682
1368	38186	3654
1369	38219	3626
1370	38304	3604
1371	38382	3580
1372	38420	3553
1373	38464	3527
1374	38494	3499
1375	38523	3471
1376	38549	3443
1377	38577	3415
1378	38602	3387
1379	38625	3358
1380	38651	3330
1381	38679	3302
1382	38703	3274
1383	38728	3246
1384	38755	3217
1385	38779	3189
1386	38805	3161
1387	38831	3133
1388	38855	3105
1389	38880	3076
1390	38906	3048
1391	38931	3020
1392	38957	2992
1393	38984	2964
1394	39009	2936
1395	39035	2908
1396	39061	2879
1397	39085	2851
1398	39115	2823
1399	39143	2795
1400	39164	2767
1401	39189	2739
1402	39217	2711
1403	39247	2683
1404	39273	2655
1405	39298	2627
1406	39325	2599
1407	39350	2571
1408	39377	2543
1409	39401	2514
1410	39427	2486
1411	39453	2458
1412	39479	2430
1413	39508	2402
1414	39538	2375
1415	39568	2347
1416	39597	2319
1417	39622	2291
1418	39644	2263
1419	39668	2234
1420	39693	2206
1421	39717	2178
1422	39749	2150
1423	39775	2122
1424	39802	2094
1425	39827	2066
1426	39851	2038
1427	39877	2010
1428	39899	1982
1429	39923	1954
1430	39950	1926
1431	39979	1898
1432	40006	1870
1433	40036	1842
1434	40060	1814
1435	40085	1786
1436	40114	1758
1437	40144	1730
1438	40172	1702
1439	40203	1675
1440	40232	1647
1441	40258	1619
1442	40291	1591
1443	40317	1563
1444	40346	1535
1445	40372	1507
1446	40399	1479
1447	40425	1451
1448	40452	1423
1449	40483	1395
1450	40509	1368
1451	40538	1340
1452	40566	1312
1453	40592	1284
1454	40616	1256
1455	40639	1228
1456	40664	1200
1457	40691	1172
1458	40717	1144
1459	40743	1116
1460	40769	1088
1461	40795	1060
1462	40820	1032
1463	40845	1004
1464	40868	976
1465	40892	948
1466	40920	920
1467	40947	892
1468	40973	864
1469	40997	836
1470	41019	808
1471	41049	780
1472	41074	752
1473	41102	725
1474	41130	697
1475	41157	669
1476	41182	641
1477	41207	613
1478	41229	585
1479	41260	557
1480	41312	530
1481	41352	502
1482	41380	474
1483	41405	446
1484	41428	418
1485	41458	390
1486	41487	362
1487	41515	334
1488	41537	306
1489	41566	278
1490	41588	251
1491	41611	223
1492	41642	195
1493	41667	167
1494	41693	139
1495	41719	111
1496	41743	83
1497	41768	55
1498	41792	27
1499	41817	0
